"","DatasetID","Latitude","Longitude","yr250 ","yr750 ","yr1250 ","yr1750 ","yr2250 ","yr2750 ","yr3250 ","yr3750 ","yr4250 ","yr4750 ","yr5250 ","yr5750 ","yr6250 ","yr6750 ","yr7250 ","yr7750 ","yr8250 ","yr8750 ","yr9250 ","yr9750 ","yr10250 ","yr10750 ","yr11250 ","yr11750 ","yr12250 ","yr12750 ","yr13250 ","yr13750 ","yr14250 ","yr14750 "
"829",22655,41.357865,-70.58414,0.501852797570096,0.582537437506826,0.450536697451201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"830",22750,46.31848,-69.06141,12.1860751143086,7.7742093587164,8.87493855315857,2.77026024084848,1.19617224880383,1.66666666666667,1.08991825613079,1.80205345009814,1.42455793697358,1.89819092471319,0.993883234415285,0.740791736399666,1.01027609260864,1.57585056751117,3.43865254571805,2.28108445330281,2.63157894736842,4.53298094639426,5,3.79918038340168,6.10526315789474,5.38093881556041,4.32105263157895,5.16431924882629,18.7552813543359,17.8828479606204,2.42940927504686,3.6231884057971,0,5.97324807996178
"831",17914,43.82946,-74.848885,11.4229881133092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"832",2839,34.16759,-80.77616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0931098696461825,0,0,0,0,0.176646726836083,0.465439894948029,0.836951228428861,1.00893717150108,1.02919921674862,1.12158421865395,5.65127834575733,10.9580395769012,7.61465980765721
"833",2520,40.216667,-84.689444,0.138312586445367,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165300546448087,0.122327865614423,0.0922823362754713,0.730250398426726,0.534165429338199,0.46957671957672,0.381835283515965,3.11606730152498,3.53601068966479,26.2013113592061,24.2992986821064,22.3914057589311,7.79251604826798,10.3979812314976,11.3820517786971,19.8885613511609
"834",23458,41.37585,-70.56858,0.0205761316872428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"835",23501,41.369905,-70.55215,0.599281768047553,0.327782787723933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"836",23506,41.358875,-70.539395,0.502222172688637,0.660335960138255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"837",23512,41.428265,-70.60189,0.524325942060209,0.684563363801024,0.317891666089748,0.224719101123596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"838",23515,41.458815,-70.62957,0.330512067820584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"839",23535,41.43051,-70.695725,0.181438051433313,0.195431137005261,0.25592454358009,0.0894454382826476,0,0,0,0.122601637414602,0.0958634497268316,0,0,0,0.0694444444444444,0,0,0,0.0449640287769784,0,0.0486854917234664,0,0,0,0,0,0,0,0,0,0,0
"840",23579,42.377775,-73.09478,0.329074575583241,0.520827159553061,0.21505376344086,0.121589893581798,0.500834724540901,0.766036235143787,0.571428571428571,0,0.239343623740749,0,0.0618126040705506,0,0,0.251675602974309,0,0.207893723404594,0.199056360815685,0.043630017452007,0.21331273488911,0.86848380727711,0,0,14.0625,54.1721854304636,54.3604651162791,0,42.5609756097561,12.5836680053548,16.087962962963,0
